,Model,Train Score,Test Score,Time Taken (seconds)
0,Ridge Classifier,0.6423296408190668,0.6378470107040293,0.8664736747741699
1,GaussianNB,0.6537801648577076,0.6500304586197894,0.7076079845428467
2,ExtraTreeClassifier,0.9505986348886651,0.7132973631537726,1.0848612785339355
3,Quadratic Discriminant Analysis,0.6880198426019172,0.6727438865198851,3.6289963722229004
4,Logistic Regression,0.6435977770318153,0.6378034983900444,2.0401175022125244
5,ExtraTreesClassifier,0.9505986348886651,0.8481420241928466,106.03826355934143
